,sitc4,exporter,value,rca
56715,8481,Areas NES,924,0.13705264708318443
56798,8482,Areas NES,900,0.24486175993528933
56874,8483,Areas NES,458,0.40600505481588717
56939,8484,Areas NES,1076,0.3168495997348713
57042,848X,Areas NES,86,58.139475898612
57075,84XX,Areas NES,874,120.836217359149
57120,8510,Areas NES,119598,2.640978539049649
57250,8710,Areas NES,13156,0.6490897207307914
57347,8720,Areas NES,2888,0.11957293072324165
57458,8731,Areas NES,7098,7.883363544306252
57521,8732,Areas NES,2016,0.9517474994835693
57583,8741,Areas NES,9312,1.9068469813492825
57688,8742,Areas NES,4802,0.2877161154468937
57782,8743,Areas NES,16644,0.999908067197867
57880,8744,Areas NES,314,0.10073305674575146
57929,8745,Areas NES,520,0.1632973251047396
58007,8748,Areas NES,5626,0.25292510285973707
58113,8749,Areas NES,5126,0.5664749868425987
58233,874X,Areas NES,1094,168.82976019178165
58272,87XX,Areas NES,440,164.75571207435456
58313,8811,Areas NES,858,0.09337094889239048
58375,8812,Areas NES,494,1.0767872716789957
58501,8821,Areas NES,330,0.0747337852593714
58559,8822,Areas NES,2348,0.16962295040804828
58692,8841,Areas NES,1560,0.3023000843060512
58760,8842,Areas NES,966,0.19267293532528582
58833,8851,Areas NES,5332,0.37299618887252867
58911,8852,Areas NES,766,0.19765288121212848
58989,88AA,Areas NES,254,228.4584971633281
59022,8921,Areas NES,7514,0.6743403349231377
59123,8922,Areas NES,1882,0.4177582892977698
59252,8928,Areas NES,4232,0.4577744522399328
59369,892X,Areas NES,294,71.80917787233265
59398,8931,Areas NES,17580,1.0430921050719075
59569,8933,Areas NES,364,4.327411146774263
59646,8939,Areas NES,33510,0.7164068096397549
59776,893X,Areas NES,344,89.1385253150979
59812,8941,Areas NES,310,0.3782428308186381
59858,8942,Areas NES,7982,0.17908334268553402
60012,8947,Areas NES,1418,0.12414712742175588
60102,894A,Areas NES,250,137.02081015647497
60186,8952,Areas NES,882,0.2101405874730731
